template_id,relationship_type,intent,tone,length,required_apology_elements,template_text,reviewed_at
tpl-anniversary-playful,,anniversary,playful,short,,"오늘이 무슨 날인지 저 안 잊었어요, 보세요. 사실 며칠 전부터 달력을 몇 번이나 확인했는지 몰라요. 올해도 무사히 기억한 기념으로 오늘은 맛있는 걸 먹으러 가요.",2026-08-16
tpl-just_because-plain,,just_because,plain,short,,특별한 일이 있는 건 아니에요. 오늘 문득 생각이 나서 그냥 연락해요. 잘 지내고 있는지 궁금했어요. 별일 없다면 그걸로 충분히 반가운 소식이에요. 답장은 편할 때 해요.,2026-08-16
tpl-just_because-romantic,,just_because,romantic,short,,"별일 없는 하루였는데 문득 생각이 나서 한참 마음이 머물렀어요. 잘 지내고 있을지, 요즘은 좀 편안한지 궁금했어요. 특별한 날이 아니어도 이런 마음은 전하고 싶었어요.",2026-08-16
tpl-just_because-sincere,,just_because,sincere,short,,"이유 없이 떠오르는 사람이 있다는 게 저에게는 꽤 큰 일이에요. 오늘이 그런 날이었어요. 특별한 날에만 마음을 전하는 게 아쉬워서, 아무 날도 아닌 오늘 이렇게 보내요.",2026-08-16
tpl-just_because-playful,,just_because,playful,short,,"아무 일도 없어요, 진짜예요. 그냥 갑자기 생각이 나서 보냈어요. 이유를 굳이 찾자면 오늘 날씨가 좋았고, 마침 그때 생각이 났다는 것 정도예요. 그거면 이유로 충분하죠?",2026-08-16
tpl-other-plain,,other,plain,short,,무슨 말부터 해야 할지 몰라서 마음만 먼저 보내요. 하고 싶은 말이 많은데 잘 정리가 되지 않네요. 그래도 이 마음이 전해지면 좋겠어요. 늘 생각하고 있다는 것만은 알아주세요.,2026-08-16
tpl-other-romantic,,other,romantic,short,,"어떤 말로 시작해야 이 마음이 그대로 전해질지 오래 골랐어요. 결국 알맞은 말은 못 찾았지만, 이걸 읽는 동안 마음이 조금 따뜻해지면 그걸로 충분해요. 늘 마음 쓰고 있어요.",2026-08-16
tpl-other-sincere,,other,sincere,short,,말로 다 옮기기 어려운 마음이 있어요. 문장으로 적으면 자꾸 작아져서 오래 담아 두기만 했어요. 그래도 오늘은 전하고 싶었어요. 제 마음이 여기 있다는 것만 알아주면 좋겠어요.,2026-08-16
tpl-other-playful,,other,playful,short,,뭐라고 적어야 할지 한참 고민하다가 결국 이렇게 보내기로 했어요. 근사한 말은 끝내 못 찾았지만 마음만은 확실해요. 그러니 모자란 말은 알아서 예쁘게 읽어 주면 좋겠어요.,2026-08-16
tpl-apology-plain-medium,,apology,plain,medium,acknowledgement|responsibility|repair,"지난번 일은 제 잘못이었어요. 그때는 제 사정을 설명하는 것이 먼저여서, 그 말을 듣는 쪽에서는 어떤 마음이었을지 끝까지 묻지 못했어요. 시간이 좀 지나고 나서야 제가 그 자리에서 놓친 것이 무엇이었는지 하나씩 보이기 시작했고, 그게 며칠 내내 마음에 걸렸어요. 그래서 오늘은 다른 말을 덧붙이지 않고 잘못한 것만 그대로 적으려고 해요. 같은 일이 되풀이되지 않도록 다음에는 제 말을 줄이고, 먼저 묻고 먼저 듣겠습니다.",2026-08-18
tpl-apology-romantic-medium,,apology,romantic,medium,acknowledgement|responsibility|repair,"그날 혼자 기다리고 있었을 마음이 자꾸 떠올라서 며칠 동안 그 생각만 하고 지냈어요. 그 자리에서 제가 한 일이라고는 제 사정을 먼저 꺼내는 것뿐이었고, 그러느라 가장 먼저 살폈어야 할 마음을 한참이나 뒤로 미뤄 두었어요. 미안하다는 말 한마디로 그 시간을 덮고 싶지는 않아서, 무엇이 잘못이었는지부터 이렇게 적어요. 서운했던 만큼을 제가 다 헤아리지는 못하겠지만, 그 마음을 가볍게 여기지는 않을게요. 다음에는 제가 먼저 챙기고, 그렇게 기다리게 하지 않을게요.",2026-08-18
tpl-apology-sincere-medium,,apology,sincere,medium,acknowledgement|responsibility|repair|promise,"그날 제가 한 말이 어떻게 닿았을지를 뒤늦게 헤아려 보았습니다. 그 자리에서는 제 입장을 설명하는 일이 먼저였고, 그래서 정작 아팠을 마음은 끝내 보지 못했습니다. 시간이 지난 뒤에야 그것이 상황 탓이 아니라 제 판단이 부족했던 탓이라는 걸 알았고, 그러니 어떤 사정도 핑계로 앞세우지 않고 제 잘못으로 받아들입니다. 늦었지만 이 말만은 제대로 전하고 싶었습니다. 같은 일이 되풀이되지 않도록 다음에는 제 말을 줄이고 먼저 듣겠습니다.",2026-08-18
tpl-confession-plain-medium,,confession,plain,medium,,"오래 마음에만 담아 두다가 이제야 말해요. 처음에는 그냥 지나가는 마음인 줄 알아서 굳이 이름을 붙이지 않았는데, 시간이 갈수록 더 또렷해져서 모르는 척하기가 점점 어려워졌어요. 그러다 보니 마음을 숨기는 일 자체가 더 힘들어졌고, 그래서 오늘은 돌려 말하지 않고 그냥 솔직하게 적기로 했어요. 놀라게 하려는 것도 아니고 무엇을 바라고 꺼내는 말도 아니에요, 그냥 좋아해요. 답은 천천히 줘도 괜찮으니, 우선은 제 마음이 이렇다는 것만 알아주면 좋겠어요.",2026-08-18
tpl-confession-romantic-medium,,confession,romantic,medium,,"좋아한다는 말보다 그 말을 듣는 쪽의 마음이 어떨지를 먼저 오래 생각했어요. 괜히 부담이 되면 어쩌나 싶어서 꺼냈다 접기를 몇 번이나 했는지 몰라요, 그러다 오늘까지 왔어요. 그러고도 자리를 지키고 있는 마음이라, 오늘은 더 미루지 않고 있는 그대로 전하기로 했어요. 이 말 때문에 무엇을 바꾸지 않아도 되고, 지금 그대로도 저에게는 이미 충분해요. 그러니 답을 서두르지 말고, 이 마음이 부담 없이 편안하게만 가닿으면 좋겠어요.",2026-08-18
tpl-confession-sincere-medium,,confession,sincere,medium,,"가볍게 꺼내는 말이 아니에요. 마음이 생긴 날부터 지금까지 여러 번 접었다 다시 폈고, 그때마다 이건 잠깐이겠지 하면서 스스로를 설득해 왔어요. 그런데 그 시간을 다 지나고도 자리를 지키고 있는 마음이라, 이제는 숨기는 쪽이 오히려 더 어색해졌어요. 그래서 오늘은 돌려 말하지 않고 그대로 말해요, 좋아해요. 어떤 답이 오더라도 이 말을 꺼낸 것만은 후회하지 않을 테니, 편하게 생각해 주면 좋겠어요.",2026-08-18
tpl-confession-playful-medium,,confession,playful,medium,,"이 말을 하려고 며칠을 연습했는데, 막상 하려니 준비한 문장이 하나도 떠오르지 않아요. 말할 순서까지 정해 두었는데 그건 다 어디로 갔는지 지금은 머릿속이 하얗기만 해요. 그래서 오늘은 연습한 걸 다 버리고 제일 짧고 확실한 걸로 갈게요, 좋아해요. 갑작스러웠다면 미안하고, 읽다가 조금이라도 웃었다면 그걸로 저는 다행이에요. 답을 재촉하지는 않을 테니 놀란 마음이 가라앉은 뒤에 편한 만큼만 말해 주면 돼요.",2026-08-18
tpl-gratitude-plain-medium,,gratitude,plain,medium,,"고맙다는 말을 너무 오래 미뤄 뒀어요. 늘 그 자리에 있어 주니까 저도 모르게 당연한 것처럼 받기만 했고, 그게 얼마나 큰 일이었는지는 한참 뒤에야 알았어요. 돌아보면 제가 편하게 지나온 날들 뒤에는 대체로 그 마음이 저보다 먼저 가 있었더라고요. 그때는 그걸 몰라서 제대로 인사도 못 했는데, 그 생각이 두고두고 마음에 남았어요. 늦었지만 지금이라도 제대로 말하고 싶어서 이렇게 적어요, 그동안 정말 고마웠어요.",2026-08-18
tpl-gratitude-romantic-medium,,gratitude,romantic,medium,,"고맙다고 하면 늘 별일 아니라고 하던 게 오래 마음에 남았어요. 대수롭지 않은 척 건네 준 것들이 저에게는 하나도 작지 않았고, 힘들었던 날마다 그 마음이 저보다 먼저 와 있었다는 걸 지나고 나서야 알았어요. 그때는 고맙다는 말을 삼키고 웃기만 했는데, 그게 내내 마음에 걸렸어요. 그래서 오늘은 더 미루지 않고 제대로 말하고 싶었어요. 그 마음 덕분에 지나온 날이 참 많고, 앞으로도 오래 기억하고 있을게요.",2026-08-18
tpl-gratitude-sincere-medium,,gratitude,sincere,medium,,"고마운 일이 많았는데 그때그때 제대로 말하지 못한 채 시간이 흘렀습니다. 힘들 때 곁에 있어 준 일도, 아무 말 없이 기다려 준 일도 다 기억하고 있어요. 그때는 제가 여유가 없어서 받은 것을 받은 줄도 몰랐고, 제가 그 시간에 얼마나 기대어 있었는지는 한참 뒤에야 알았습니다. 뒤늦게 알고 나니 그 말을 미뤄 둔 것이 계속 마음에 걸렸어요. 늦었지만 이제라도 제대로 전하고 싶었고, 그 마음을 오래 잊지 않겠습니다.",2026-08-18
tpl-gratitude-playful-medium,,gratitude,playful,medium,,"고맙다는 말을 하려니 괜히 쑥스러워서 오늘도 자꾸 미루기만 했어요. 말로 하면 어쩐지 실제보다 짧아지는 것 같아서, 오늘은 말보다 마음을 먼저 보내기로 했어요. 그동안 받은 걸 하나씩 세어 보다가 중간에 포기했다는 건 우리끼리 비밀로 해 주면 좋겠어요. 다 갚으려면 한참 걸릴 것 같으니 조급해하지 말고 천천히 나눠서 갚을게요. 그때까지 옆에 있어 주면 저야 좋고, 오래 갚을 핑계가 생기는 셈이라 더 좋겠어요.",2026-08-18
tpl-celebration-plain-medium,,celebration,plain,medium,,"정말 축하해요, 소식 듣고 한참을 기뻐했어요. 이 소식이 오기까지 얼마나 애썼는지 옆에서 봐 왔고, 그래서 오늘이 저에게도 반가운 하루예요. 잘될 거라고 말하는 것보다 그냥 조용히 지켜보는 편이 나을 것 같아서 그동안은 별말을 하지 않았는데, 오늘은 마음껏 축하하고 싶어요. 이건 어쩌다 온 소식이 아니라 그 시간을 지나온 사람에게만 오는 소식이라고 생각해요. 오늘만큼은 걱정을 잠시 내려놓고 푹 쉬는 하루가 되면 좋겠어요.",2026-08-18
tpl-celebration-romantic-medium,,celebration,romantic,medium,,"오늘의 기쁨보다 그 앞에 있던 시간이 먼저 떠올랐어요. 혼자 견뎌 낸 날이 많았을 텐데 그걸 다 지나 여기까지 왔다는 게 대견하고 고마워요. 조용히 애쓰던 모습을 옆에서 본 사람이라 오늘이 유난히 반갑고, 어쩐지 저까지 마음이 놓여요. 축하한다는 말로는 어쩐지 모자란 것 같아서 이 말을 몇 번이나 고쳐 적었어요. 오늘은 아무 생각 말고 마음 놓고 기뻐했으면 좋겠고, 다음 이야기는 천천히 해도 늦지 않아요.",2026-08-18
tpl-celebration-sincere-medium,,celebration,sincere,medium,,"진심으로 축하해요. 결과보다 그 결과에 닿기까지 버텨 온 시간을 먼저 축하하고 싶어요. 조용히 쌓아 온 노력이 어떤 모습이었는지 알기에 오늘의 이 소식이 더 귀하게 느껴지고, 그건 어쩌다 온 하루가 아니라 그 시간을 지나온 사람에게만 오는 하루라고 생각합니다. 그동안 스스로를 많이 다그쳤을 텐데 오늘은 그러지 않아도 돼요. 오늘은 그 자리에서 충분히 기뻐하고, 여기까지 온 자신에게도 한마디 건네면 좋겠습니다.",2026-08-18
tpl-celebration-playful-medium,,celebration,playful,medium,,"축하해요! 소식을 듣고 저 혼자 더 신나서 하루 종일 들떠 있었고, 만나는 사람마다 자랑하고 싶은 걸 참느라 혼났어요. 자랑은 마음껏 해도 좋아요, 오늘은 제가 세상에서 제일 크게 들어 줄 자신이 있어요. 겸손은 오늘 하루만 잠깐 접어 두어도 아무도 뭐라고 하지 않을 테니, 오늘은 마음껏 기뻐해도 돼요. 좋은 것만 생각하고 좋은 것만 먹는 하루로 보내고, 남은 이야기는 내일 천천히 들려주면 좋겠어요.",2026-08-18
tpl-comfort-plain-medium,,comfort,plain,medium,,"무슨 말을 해야 할지 몰라서 한참을 망설였어요. 얼른 괜찮아지라는 말은 지금 이 자리에서는 오히려 짐이 될 것 같아서 하지 않을게요. 지금 필요한 게 무엇인지도 제가 다 알지는 못하니, 섣불리 무슨 말을 보태기보다 우선은 그냥 곁에 있을게요. 힘들면 힘들다고 말해도 괜찮고, 아무 말도 하고 싶지 않으면 그냥 그대로 있어도 괜찮아요. 언제든 들을 준비가 되어 있으니, 마음이 조금 정리되면 편할 때 편한 만큼만 말해 주면 돼요.",2026-08-18
tpl-comfort-romantic-medium,,comfort,romantic,medium,,"괜찮냐고 묻는 말이 오히려 힘들게 할 것 같아서 한참을 망설이다 이렇게 보내요. 그래서 오늘은 아무것도 묻지 않고, 그냥 여기 있다는 말만 남겨 둘게요. 지금은 아무 대답도 하지 않아도 되고, 괜찮은 척 애써 웃어 보이지 않아도 괜찮아요. 마음이 조금 가벼워질 때까지 저는 그저 이 자리에서 조용히 기다리고 있을게요. 그동안은 아무것도 하지 않아도 정말 괜찮고, 무엇을 하고 싶어지면 그때 말해 주면 돼요.",2026-08-18
tpl-comfort-sincere-medium,,comfort,sincere,medium,,"지금 겪고 있는 일을 제가 다 안다고 말하지는 않을게요. 다만 그 무게를 혼자서만 지고 있지는 않았으면 하는 마음으로 이 말을 적어요. 기운 내라는 말보다 기운이 없어도 괜찮다는 말을 먼저 하고 싶었고, 언젠가 지나갈 거라는 말도 지금 이 자리에서는 위로가 되지 않을 테니 하지 않을게요. 무슨 말이 도움이 될지 몰라 이렇게 서툰 문장만 늘어놓게 되네요. 그래도 필요할 때 부를 수 있는 자리에, 그저 곁에 있겠습니다.",2026-08-18
tpl-comfort-playful-medium,,comfort,playful,medium,,"위로를 잘 못해서 무슨 말을 할까 어제부터 한참을 고민했어요. 근사한 문장을 찾아보려고 여기저기 뒤졌는데 결국 마음에 드는 걸 못 찾았고, 그래서 남은 결론은 이거예요. 오늘은 아무것도 안 해도 괜찮고, 아무것도 안 하는 게 오늘 할 일이에요. 맛있는 걸 먹고 실컷 자고, 미뤄도 되는 일은 전부 내일로 미뤄 두기로 해요. 내일의 일은 내일의 몫이니까, 오늘의 몫은 푹 쉬는 것으로 정해 두면 좋겠어요.",2026-08-18
tpl-anniversary-plain-medium,,anniversary,plain,medium,,"오늘이 그날이네요. 지나온 시간을 하나씩 세어 보니 생각보다 많은 날을 함께 지나왔고, 그 사이에 계절도 여러 번 바뀌었더라고요. 대단한 일이 있었던 것도 아닌데 그 평범한 날들이 이상하게 하나하나 다 기억에 남아 있어요. 말주변이 없어서 특별한 말은 여전히 잘 못 하지만, 오늘은 이 말만은 꼭 하고 싶었어요. 그 시간이 저에게 참 좋았다는 말을 남겨 두고 싶었고, 앞으로의 날도 그렇게 천천히 지나가면 좋겠어요.",2026-08-18
tpl-anniversary-romantic-medium,,anniversary,romantic,medium,,"오늘을 세어 보다가 함께 지나온 계절이 하나씩 떠올라서 한참을 그 생각에 머물렀어요. 좋았던 날보다 아무 일 없이 조용히 곁을 지켜 준 날들이 더 오래 남더라고요. 특별할 것 없이 지나간 저녁들이, 지나고 보니 제일 다정한 기억으로 남아 있었어요. 그런 날들을 앞으로도 서두르지 않고 천천히 함께 쌓아 가고 싶어요. 오늘도 그렇게 편안한 하루가 되면 좋겠고, 그 하루를 함께 보낼 수 있어 고마워요.",2026-08-18
tpl-anniversary-sincere-medium,,anniversary,sincere,medium,,"오늘을 앞두고 함께 지나온 날들을 하나씩 떠올려 봤습니다. 좋았던 날도, 서로 애썼던 날도 결국 다 지금의 우리를 만든 시간이었더라고요. 그중에는 제가 부족해서 미안했던 날도 있었는데, 그 자리를 말없이 함께 지나 준 것이 두고두고 고마워요. 그 고마움을 제때 말하지 못하고 오늘까지 미뤄 둔 것도 마음에 남아 있었어요. 앞으로의 날도 그렇게 천천히 함께 쌓아 가고 싶고, 오늘을 진심으로 축하합니다.",2026-08-18
tpl-anniversary-playful-medium,,anniversary,playful,medium,,"오늘이 무슨 날인지 저 안 잊었어요, 여기 보세요, 달력에 표시까지 해 두었어요. 사실은 며칠 전부터 달력을 몇 번이나 확인했는지 모르겠고, 어제는 괜히 혼자 설레기까지 했어요. 혹시 잊어버릴까 봐 알림까지 걸어 두었다는 건 우리끼리 비밀로 해 주면 좋겠어요. 아무튼 올해도 무사히 기억해 낸 기념으로 오늘은 맛있는 걸 먹으러 가기로 해요. 갈 곳은 제가 미리 정해 두었으니 오늘은 아무 준비 없이 그냥 나오기만 하면 돼요.",2026-08-18
tpl-just_because-plain-medium,,just_because,plain,medium,,"딱히 무슨 일이 있어서 보내는 건 아니에요, 정말 그냥 보내는 연락이에요. 오늘 길을 걷다가 문득 생각이 나서, 그 김에 안부라도 물어야겠다 싶어 이렇게 연락해요. 요즘은 어떻게 지내는지, 잠은 잘 자고 끼니는 잘 챙기는지 그런 것들이 궁금했어요. 별일 없다는 대답이면 그걸로 충분히 반가운 소식이니, 굳이 좋은 소식을 만들어 전하지 않아도 돼요. 답장은 편할 때 천천히 해도 괜찮고, 바쁘면 그냥 읽고 넘겨도 정말 괜찮아요.",2026-08-18
tpl-just_because-romantic-medium,,just_because,romantic,medium,,"별일 없는 평범한 하루였는데 문득 생각이 나서, 한참 마음이 그 자리에 머물렀어요. 잘 지내고 있을지, 요즘은 좀 편안한지, 자주 웃는 날이 있는지 궁금했어요. 안부를 묻는 데 특별한 날이 필요한 것도 아닌데 늘 이런저런 이유로 미뤄 왔더라고요. 그래서 오늘은 아무 이유도 붙이지 않고, 생각난 그대로 그냥 보내요. 잘 지낸다는 말 한마디만 들어도 좋겠고, 지내다 힘든 일이 있으면 그것도 말해 주면 좋겠어요.",2026-08-18
tpl-just_because-sincere-medium,,just_because,sincere,medium,,"이유 없이 문득 떠오르는 사람이 있다는 게 저에게는 꽤 큰 일인데, 오늘이 그런 날이었어요. 마음은 자주 드는데 그걸 말로 옮기는 일은 늘 뒤로 미루게 되더라고요. 그러다 보면 전할 기회는 늘 특별한 날에만 오고, 그런 날은 일 년에 몇 번 되지 않아요. 그게 아쉬워서 아무 날도 아닌 오늘, 아무 이유 없이 이렇게 마음을 보냅니다. 별일 없이 잘 지내고 있으면 좋겠고, 그 소식만 들어도 저는 충분합니다.",2026-08-18
tpl-just_because-playful-medium,,just_because,playful,medium,,"아무 일도 없어요, 진짜예요, 이건 그냥 보내는 연락이에요. 굳이 이유를 대라면 대기 어려운데, 정말 갑자기 생각이 나서 보냈어요. 이유를 굳이 찾자면 오늘 날씨가 좋았고 마침 그때 생각이 났다는 것 정도인데, 그거면 이유로 충분하지 않나요? 답장이 없어도 서운해하지 않을 테니 편할 때 편하게 봐 주면 되고, 안 봐도 괜찮아요. 그러니 이건 무슨 용건이 아니라 그냥 안부라고 생각해 주면 좋겠어요.",2026-08-18
tpl-other-plain-medium,,other,plain,medium,,"무슨 말부터 해야 할지 몰라서 오늘은 마음만 먼저 보내요. 하고 싶은 말이 많은데 막상 적으려니 순서가 잘 정리되지 않고, 적을수록 하고 싶던 말과 멀어지는 것 같았어요. 몇 번을 썼다 지웠는지는 저도 잘 모르겠고, 결국 제일 처음에 떠오른 말만 남았어요. 그래도 이렇게라도 보내면 이 마음이 조금은 전해질 것 같아서 그냥 보내요. 말이 서툴러도 마음까지 서툰 건 아니니, 늘 생각하고 있다는 것만은 알아주면 좋겠어요.",2026-08-18
tpl-other-romantic-medium,,other,romantic,medium,,"어떤 말로 시작해야 이 마음이 그대로 전해질지 몰라서 한참을 골랐어요. 결국 알맞은 말은 끝내 못 찾았지만, 고르느라 보낸 그 시간까지가 다 마음이었다고 생각해요. 그러니 문장이 조금 서툴러도 그 안에 담긴 마음만은 그대로 받아 주면 좋겠어요. 무엇을 바라고 보내는 것도 아니고, 이걸 읽는 동안 마음이 조금 따뜻해진다면 그걸로 충분해요. 특별한 말은 못 되지만, 늘 마음 쓰고 있다는 것만은 전하고 싶었어요.",2026-08-18
tpl-other-sincere-medium,,other,sincere,medium,,"말로 다 옮기기 어려운 마음이 있고, 저에게는 이 마음이 그랬어요. 문장으로 적으면 자꾸 실제보다 작아져서, 적었다가 지우기를 되풀이하며 오래 담아 두기만 했습니다. 그러다 전하지 않으면 결국 없는 것과 같아진다는 생각이 들었고, 그 생각이 오래 남았어요. 그래서 오늘은 조금 서툴더라도 고치지 않고 있는 그대로 보내기로 했어요. 잘 다듬지 못한 말이지만, 제 마음이 여기 있다는 것만은 알아주면 좋겠습니다.",2026-08-18
tpl-other-playful-medium,,other,playful,medium,,"뭐라고 적어야 할지 한참을 고민하다가, 결국 고민한 티가 나는 채로 이렇게 보내기로 했어요. 근사한 말을 찾아보려고 꽤 애썼는데, 찾을수록 제 말투와 멀어지는 것 같아서 그만뒀어요. 그래도 마음만은 확실하니까, 문장이 모자란 자리는 마음으로 채워 읽어 주면 좋겠어요. 이렇게 부탁해 두면 제가 좀 편해진다는 것도 사실은 알고 있어요. 그럼 저는 그걸로 하고 싶었던 말을 다 전한 셈으로 칠게요, 오늘은 이만 줄일게요.",2026-08-18
