rule_id,relationship_type,intent,occasion,apology_level,aesthetic_tags,budget_range,urgency,flower_id,fit_score,avoid_reason,note
rule-112,,celebration,,,,2-3,normal,anemone,,이별과 덧없음의 뜻이 강해 축하 자리에서는 마음이 다르게 읽혀요,meanings [red] 덧없는 사랑 그리고 버려진 마음(uk/victorian) 과 바람이 데려간 사랑(greece-rome/ancient) 두 행의 caution_note 가 모두 축하 자리를 직접 지목
rule-113,,comfort,,,,3,normal,hellebore,82,,meanings [white] 내 불안을 가라앉혀 주세요(uk/victorian·repeated) 와 겨울을 견디는 조용한 위로(europe/medieval) · story-hellebore-winter-bloom(comfort) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-114,,apology,,,,3,normal,hellebore,72,,story-hellebore-madelon-tears 의 intents 에 apology(드릴 게 없어 울었다는 이야기) · rule-007(hyacinth 72) 과 같은 눈금 · 병합 감사에서 relationship 비움(마들롱 이야기는 연인 사이가 아님)
rule-115,,anniversary,,,,3,normal,hellebore,72,,story-hellebore-sepals 의 intents 에 anniversary(꽃잎이 아니어서 지지 않는다) · 뒷받침이 이야기 한 편뿐이라 낮게 잡음 · 병합 감사에서 relationship 비움(근거가 결혼·부부를 말하지 않음)
rule-116,,comfort,,,,2-3,normal,hyacinth,76,,story-hyacinth-apollo-discus·story-hyacinth-soul-poem·story-hyacinth-forcing-glass 모두 comfort · meanings [purple] 깊은 슬픔과 애도(greece/ancient·repeated) · 병합 감사에서 relationship 비움(아폴론 설화는 사랑하던 사이의 죽음이라 친구 사이를 말하지 않음)
rule-117,,apology,after-argument,,,2-3,normal,hyacinth,72,,rule-007(lover/apology 72) 과 같은 아폴론 설화 근거 · meanings [purple] 용서해 주세요(global/modern) · 병합 감사에서 relationship 비움(근거가 결혼·부부를 말하지 않음)
rule-118,,celebration,,,,3,normal,peony,86,,meanings [pink] 부귀와 영화 꽃 중의 왕(china/tang·repeated) 과 부귀 영화 성실(korea/modern·repeated) · story-peony-ten-days 의 intents 에 celebration · 병합 감사에서 relationship 비움(부귀영화를 비는 말은 받는 사람을 가리지 않음)
rule-119,,anniversary,,,,3,normal,peony,80,,meanings 부귀 영화 성실(korea/modern·repeated) 의 성실이 부부 쪽 근거 · 이야기 쪽 뒷받침이 없어 rule-118 보다 낮춤 · 병합 감사에서 relationship 비움(부귀·영화와 나란한 성실은 세속의 덕목이지 부부의 언약이 아님)
rule-120,,confession,,,,3,normal,peony,78,,meanings [red] 수줍음과 부끄러운 마음(western/victorian·repeated) 과 수줍음(korea/modern·repeated) · story-peony-three-postures 의 intents 에 confession · 병합 감사에서 relationship 비움(수줍음은 crush 쪽 신호라 lover 를 가리키지 않음)
rule-121,,apology,,,,3,normal,peony,,타오르는 분노라는 꽃말이 나란히 붙어 있어 먼저 손 내미는 자리와는 뜻이 어긋나요,meanings [red] 타오르는 분노(uk/victorian) 의 caution_note 가 사과 자리를 직접 지목
rule-122,spouse,anniversary,,,,2-3,normal,hydrangea,82,,story-hydrangea-manyoshu-eight-fold(여덟 겹으로 피니 여덟 대까지) · meanings [blue] 인내심 있는 사랑 과 [green] 한결같은 사랑(japan/modern)
rule-123,family,gratitude,,,,2-3,normal,hydrangea,80,,meanings 둘러앉은 자리 가족과 화목(japan/modern) 과 [pink] 진심 말로 다 못 한 고마움(global/modern) · story-hydrangea-amacha 의 intents 에 gratitude
rule-124,,confession,,,,2-3,normal,hydrangea,,변덕과 바람기라는 뜻이 함께 붙어 있어 마음을 처음 꺼내는 자리에서는 오해되기 쉬워요,meanings [blue] 변덕(japan/modern·repeated) 의 caution_note 가 고백 자리를 직접 지목 · story-hydrangea-otaksa 는 confession 이지만 이루지 못한 사랑이라 반례로 보지 않음
rule-125,,comfort,,,,1-2,normal,lavender,84,,meanings 씻어 내는 일 하루의 먼지를 내려놓는(rome/ancient·repeated) · story-lavender-lavare·story-lavender-broom-of-the-brain 둘 다 comfort · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-126,,comfort,,,,1-2,normal,lavender,80,,rule-125 와 같은 근거 · story-lavender-gattefosse-truth(comfort) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-127,,apology,,,,1-2,normal,lavender,,의심이라는 꽃말이 오래 따라다녀 화해를 청하는 자리와는 결이 어긋나요,meanings [purple] 의심(uk/victorian·repeated) 의 caution_note 가 사과나 화해 자리를 직접 지목 · story-lavender-distrust-faithful
rule-128,,gratitude,,,,1-2,normal,sunflower,80,,meanings 존경 그리고 눈부심(japan/modern) · story-sunflower-van-gogh 의 intents 에 gratitude · 꽃말이 single_source 라 carnation 92 와 크게 벌림 · 병합 감사에서 relationship 비움(존경은 받는 사람을 가리지 않고 고흐 이야기는 오히려 친구 쪽)
rule-129,,gratitude,,,,1-2,normal,sunflower,76,,rule-128 과 같은 존경 근거 · rule-005(gerbera colleague/gratitude 84) 보다 직장 관행이 얕아 낮춤 · 병합 감사에서 relationship 비움(근거에 직장 관행이 없음)
rule-130,,celebration,,,,1-2,normal,sunflower,76,,story-sunflower-pervomaysk·story-sunflower-hopi-black-dye 둘 다 celebration · meanings [yellow] 핵을 걷어 낸 자리에 심은 꽃 평화(ukraine/modern·repeated) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-131,family,gratitude,parents-day,,,1-2,normal,carnation,92,,meanings [red] 5월 8일 가슴에 다는 꽃(korea/modern·repeated) · story-carnation-korea-1956-mothers-day · 국내에서 가장 굳은 짝이라 rule-001 과 같은 눈금에 둠
rule-132,,gratitude,teachers-day,,,1-2,normal,carnation,84,,story-carnation-korea-teachers-day-gap(스승의 가슴에 카네이션을 달아 드리던 관행) · 은사와 선후배가 colleague 로 묶이는 어휘 한계 때문에 rule-131 보다 낮춤 · 병합 감사에서 relationship 비움(근거가 말하는 것은 스승과 제자 사이인데 어휘에 그 칸이 없어 colleague 로 바꿔 적은 값이었음)
rule-134,spouse,anniversary,,,,2-3,normal,lisianthus,84,,meanings 변치 않는 사랑(korea/modern·repeated) · story-lisianthus-five-months 의 intents 에 anniversary(다섯 달을 기다려 피는 꽃)
rule-135,,anniversary,,,,2-3,normal,lisianthus,82,,rule-134 와 같은 근거 · 병합 감사에서 relationship 비움(변치 않는 사랑은 오래 이어진 사이를 가리켜 rule-134 한 자리로 받음)
rule-136,,confession,,,,2-3,normal,lisianthus,72,,story-lisianthus-good-mouth 의 intents 에 confession · 뒷받침이 이야기 한 편뿐이라 낮게 잡음 · 병합 감사에서 relationship 비움(이름의 유래를 적은 이야기라 관계를 말하지 않음)
rule-137,crush,confession,,,,2-3,normal,ranunculus,82,,meanings 당신은 매력으로 빛나요(uk/victorian·repeated) · story-ranunculus-radiant-vs-wild·story-ranunculus-persian-prince 둘 다 confession · rule-002(freesia 78) 보다 꽃말이 직접적
rule-138,,confession,,,,2-3,normal,ranunculus,78,,rule-137 과 같은 근거 · 병합 감사에서 relationship 비움(같은 근거가 가리키는 것은 대답을 못 받은 쪽이라 crush 한 자리로 받음)
rule-139,,gratitude,,,,2-3,normal,ranunculus,,배은망덕이라는 뜻이 함께 붙어 있어 고맙다는 말을 건네는 자리에는 어긋나요,meanings 배은망덕 그리고 어린 마음(global/modern) 의 caution_note 가 감사 자리를 직접 지목
rule-140,,celebration,,,,3,normal,lily-of-the-valley,80,,meanings [white] 돌아오는 행복(uk/victorian·repeated) 과 5월 1일에 건네는 행운(france/modern·repeated) · story-lotv-dior 의 intents 에 celebration · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-141,,confession,,,,3,normal,lily-of-the-valley,76,,story-lotv-tchaikovsky 의 intents 에 confession · meanings [white] 돌아오는 행복(uk/victorian·repeated) · 향이 3 이라 향 민감 시 exclude 가 거름 · 병합 감사에서 relationship 비움(작곡가가 꽃을 두고 쓴 시라 관계를 말하지 않음)
rule-142,spouse,anniversary,,,,3,normal,lily-of-the-valley,74,,story-lotv-faberge-egg 의 intents 에 anniversary · 뒷받침이 이야기 한 편뿐이라 낮게 잡음
rule-143,,celebration,,,,1-2,normal,chrysanthemum,,한국에서 국화는 조문의 꽃이라 함께 기뻐하는 자리에는 놓지 않아요,meanings [white] 흰 국화 한 송이 애도(korea/modern·repeated) 의 caution_note 가 축하와 고백 자리를 직접 지목 · story-chrysanthemum-korea-white-funeral
rule-144,,confession,,,,1-2,normal,chrysanthemum,,한국에서 국화는 조문의 꽃이라 마음을 처음 꺼내는 자리와는 결이 어긋나요,rule-143 과 같은 caution_note · meanings [red] 사랑합니다(uk/victorian) 도 한국에서는 정반대로 읽힌다고 같은 행이 적음
rule-145,,comfort,,,,1-2,normal,narcissus,78,,story-narcissus-daffodil-day·story-narcissus-behbahan-winter·story-narcissus-jeju-chusa 모두 comfort · meanings 스스로를 귀하게 여기는 일(japan/modern·repeated) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-146,crush,confession,,,,1-2,normal,narcissus,70,,meanings 눈여겨보는 마음(uk/victorian·repeated) 과 [yellow] 답장을 기다리는 마음 · 같은 표에 자기애로 읽힐 수 있다는 caution 이 있어 낮게 잡음
rule-147,,anniversary,,,,1-2,normal,forget-me-not,82,,meanings 진실한 사랑 나를 잊지 말아요(uk/victorian·repeated) 와 [blue] 잊지 않겠다는 약속(western/modern·repeated) 두 갈래가 모두 오래 기억하는 마음 · 병합 감사에서 relationship 비움(어느 쪽도 사이의 갈래를 가리지 않음)
rule-148,,confession,,,,1-2,normal,forget-me-not,78,,story-forget-me-not-danube·story-forget-me-not-poland-day 둘 다 confession · 병합 감사에서 relationship 비움(도나우 이야기는 이미 연인인 두 사람이라 crush 를 말하지 않음)
rule-149,,comfort,,,,1-2,normal,forget-me-not,74,,story-forget-me-not-remembrance 의 intents 에 comfort · meanings [blue] 먼저 간 이들을 기억하는 일(armenia/modern) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-150,,just_because,,,,2-3,normal,cherry-blossom,78,,meanings 봄이 왔다는 소식(japan/ancient·repeated) 과 [pink] 다정함 그리고 지나가는 것들의 아름다움(japan/modern·repeated) · story-cherry-zensen·story-cherry-hana-yori-dango 둘 다 just_because · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-151,,just_because,,,,2-3,normal,cherry-blossom,76,,rule-150 과 같은 근거 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-152,lover,confession,,,,2-3,normal,camellia,80,,meanings [red] 사랑에 빠진 마음 그리고 기품 있게 지는 일(japan/modern·repeated) · story-camellia-dumas 의 intents 에 confession
rule-153,lover,anniversary,,,,2-3,normal,camellia,76,,story-camellia-dumas 의 intents 에 anniversary · meanings [white] 기다림(japan/modern·repeated)
rule-154,crush,confession,,,,2-3,normal,violet,76,,story-violet-sappho 의 intents 에 confession · meanings [purple] 겸손 앞에 나서지 않는 마음(uk/victorian·repeated)
rule-155,family,gratitude,,,,2-3,normal,violet,74,,story-violet-saintpaulia-father-son 의 intents 에 gratitude(아버지에게 보낸 씨앗 한 봉지)
rule-156,,just_because,,,,2-3,normal,violet,72,,meanings [yellow] 소박한 행복(uk/victorian) · story-violet-korean-names·story-violet-ionone 둘 다 just_because · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-157,,just_because,,,,2-3,normal,iris,78,,meanings 전하고 싶은 말 소식(uk/victorian·repeated) 과 좋은 소식 그리고 변치 않음(japan/modern·repeated) · story-iris-message-across 의 intents 에 just_because · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-158,,anniversary,,,,2-3,normal,iris,74,,story-iris-message-across 의 intents 에 anniversary · meanings 좋은 소식 그리고 변치 않음(japan/modern·repeated) 의 변치 않음 · 병합 감사에서 relationship 비움(변치 않음이 걸린 말은 소식이지 사랑이 아님)
rule-159,,comfort,,,,2-3,normal,iris,72,,story-iris-van-gogh 의 intents 에 comfort(요양원 정원에서 그린 붓꽃) · 뒷받침이 이야기 한 편뿐이라 낮게 잡음 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-160,crush,confession,,,,1-2,normal,daisy,78,,story-daisy-chaucer-days-eye·story-daisy-dickinson-master-letters·story-daisy-latvia-jani-wreath 모두 confession · meanings 숨겨진 사랑 겸손한 아름다움(korea/modern)
rule-161,spouse,anniversary,,,,1-2,normal,daisy,74,,story-daisy-auld-lang-syne-gowan·story-daisy-russia-family-day 둘 다 anniversary · meanings 믿음(japan/modern·repeated)
rule-162,,just_because,,,,1-2,normal,daisy,74,,story-daisy-chaucer-days-eye 의 intents 에 just_because · meanings [white] 순수한 마음 티 없음(uk/victorian·repeated) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-163,,celebration,graduation,,,1-2,normal,babys-breath,78,,story-babysbreath-korea-graduation-price·story-krbouquet-babysbreath-half 둘 다 졸업 꽃다발 · 오래 곁들이는 꽃이라 불린 자리여서 rule-105(freesia 90) 보다 크게 낮춤 · 병합 감사에서 relationship 비움(졸업 관행은 주는 사람을 가리지 않음)
rule-164,spouse,anniversary,,,,1-2,normal,babys-breath,74,,story-babysbreath-never-drops-petals 의 intents 에 anniversary(지는 대신 마르기로 한 꽃) · meanings [white] 변치 않는 사랑(korea/modern)
rule-165,,gratitude,,,,1-2,normal,babys-breath,70,,story-krbouquet-babysbreath-half 의 intents 에 gratitude · 단독 주인공으로는 약한 꽃이라 낮게 잡음 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-166,,just_because,,,,1-2,normal,cosmos,74,,meanings [pink] 가을이 왔다는 소식(korea/modern) 과 가지런함 흐트러지지 않은 마음(etymology/18c·repeated) · 이야기 3편이 모두 just_because · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-167,,just_because,,,,1-2,normal,cosmos,70,,rule-166 과 같은 근거 · 꽃말이 3행뿐이라 낮게 잡음 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-168,crush,confession,,,,2-3,normal,magnolia,74,,story-magnolia-north-facing·story-magnolia-champaka-kamadeva 둘 다 confession · 북향화 이야기가 이루지 못한 사랑이라 lover 는 세우지 않고 crush 한 자리만 둠
rule-169,,just_because,,,,2-3,normal,magnolia,72,,meanings 꾸미지 않은 것(japan/modern·repeated) · story-magnolia-older-than-bees·story-magnolia-magnol 둘 다 just_because · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-170,colleague,celebration,new-business,,,3,normal,phalaenopsis,88,,story-phalaenopsis-korea-auction-halved(승진하면 보내고 가게를 열면 보내던 난 화분 · 2016년 청탁금지법 뒤 경매가 주 2회에서 1회로) · 국내 직장 관행이 가장 굳은 짝
rule-171,,celebration,,,,3,normal,phalaenopsis,76,,rule-170 과 같은 이야기 · meanings 행복이 날아듭니다(japan/modern) · 꽃말이 모두 single_source 라 낮게 잡음 · 병합 감사에서 relationship 비움(같은 이야기가 말하는 것은 직장 관행이지 가족이 아님)
rule-172,spouse,anniversary,wedding,,,2-3,normal,lily-asiatic,76,,story-lily-baihe-wedding(百年好合 백 년을 사이좋게 · 중국에서 오래 가는 결혼의 표시) · 고양이에게 life_threatening 이라 병문안이나 침실 같은 자리에는 가점을 세우지 않고 기념일 한 자리만 둠
rule-200,family,comfort,memorial,,,1-2,normal,marigold,80,,stories:story-marigold-cempasuchil — 망자의 날에 꽃잎으로 길을 내 가족을 부르는 꽃 · meanings:marigold/wikipedia-tagetes-erecta '떠난 이를 집으로 데려오는 꽃'(mexico·repeated)
rule-201,,gratitude,,,,1-2,normal,marigold,76,,meanings:marigold/wikipedia-tagetes-erecta '신에게 바치는 꽃'(india·repeated) · stories:story-marigold-india · stories:story-marigold-chornobryvtsi(intents=gratitude|comfort)
rule-202,,confession,,,,1-2,normal,marigold,,서양 꽃말이 슬픔과 질투라 고백 자리에서 뜻이 뒤집힌다,meanings:marigold/greenaway-1884 은 '슬픔' · 노랑은 '질투'다. 같은 행의 caution_note 가 문화권마다 뜻이 정반대로 갈린다고 이미 경고한다
rule-203,,comfort,,,,1-2,normal,corn-poppy,84,,meanings:corn-poppy/greenaway-1884 붉은 개양귀비='위로'(repeated) · stories:story-poppy-why-flanders · stories:story-poppy-tower-888246
rule-204,,gratitude,remembrance,,,1-2,normal,corn-poppy,74,,stories:story-poppy-moina-anna(추모 관습을 만든 두 사람 · intents=gratitude) · meanings:corn-poppy/wikipedia-remembrance-poppy
rule-205,,celebration,,,,1-2,normal,corn-poppy,,전몰자 추모의 상징이라 축하 자리에서는 자리를 잘못 읽은 꽃이 된다,meanings:corn-poppy/wikipedia-remembrance-poppy '돌아오지 못한 이들을 기억하는 일'(commonwealth·repeated) · stories:story-poppy-in-flanders-fields
rule-206,lover,confession,,,,2-3,normal,jasmine,80,,meanings:jasmine/greenaway-1884 '당신에게 마음을 맡깁니다' · stories:story-jasmine-night-bloom(저녁 여섯 시에 피는 꽃 · intents=confession) · 향 3단계라 향 민감 시 EX_FRAGRANCE 가 먼저 거른다 — 히아신스(rule-007) 와 같은 취급
rule-207,spouse,anniversary,,,,2-3,normal,jasmine,78,,meanings:jasmine/wikipedia-jasminum-sambac '순결 — 신부의 꽃'(philippines-indonesia·repeated) · stories:story-jasmine-sampaguita(intents=celebration|anniversary)
rule-208,family,gratitude,,,,2-3,normal,jasmine,80,,stories:story-jasmine-thailand-mothers-day(어머니날에 재스민을 드린다 · intents=gratitude) · meanings:jasmine/wikipedia-hanakotoba '다정하고 우아함'(repeated)
rule-209,,just_because,,,,1-2,normal,pansy,86,,meanings:pansy/greenaway-1884 '생각 — 당신을 떠올리고 있어요'(repeated) · stories:story-pansy-pensee(이름 자체가 '생각') — 꽃말과 상황이 1:1 로 겹치는 드문 자리라 높게 잡았다
rule-210,,comfort,,,,1-2,normal,pansy,74,,stories:story-pansy-ophelia(오필리아가 건넨 꽃 · intents=comfort) · meanings:pansy/wikipedia-pansy '기억 — 잊지 않겠다는 마음'
rule-211,crush,confession,,,,1-2,normal,pansy,76,,meanings:pansy/dumont-1851 '나를 생각해 주세요'(repeated) · stories:story-pansy-midsummer(사랑 묘약 · intents=confession)
rule-212,family,celebration,christmas,,,1-2,normal,poinsettia,82,,meanings:poinsettia/wikipedia-poinsettia '거룩한 밤의 꽃'·'축하 — 한 해의 끝에 건네는 마음' · 화분으로만 유통되는 종이라 다발 자리에는 서지 않는다
rule-213,,apology,,1,,1-2,normal,poinsettia,70,,stories:story-poinsettia-pepita(드릴 게 잡초뿐이었던 밤 · intents=apology|comfort) · 근거가 이야기 한 편뿐이고 꽃말 쪽 뒷받침이 없어 낮게 잡았다
rule-214,colleague,gratitude,job-change,,,2-3,normal,sweet-pea,84,,meanings:sweet-pea/hanakotoba-yurai-sweetpea '작별 — 그리고 새 출발'(repeated) · 같은 행 caution_note 가 '보내는 자리의 꽃'이라 못 박았고 그 자리가 정확히 여기다 · 병합에서 occasion 을 기존 어휘 job-change 로 통일(farewell 은 이 표에서 이직·퇴사 배웅과 같은 자리였다)
rule-215,,just_because,,,,2-3,normal,sweet-pea,72,,meanings:sweet-pea/suncheonbay-birth-flowers '다정한 추억'(repeated) · meanings:sweet-pea/greenaway-1884 '섬세한 기쁨'
rule-216,,confession,,,,2-3,normal,sweet-pea,,작별의 꽃이라 곁에 있어 달라는 자리에는 뜻이 어긋난다,meanings:sweet-pea/hanakotoba-yurai-sweetpea 의 caution_note '곁에 있어 달라는 자리에는 뜻이 어긋납니다' 를 규칙으로 옮겼다
rule-217,,celebration,,,,2-3,normal,sweet-pea,,보내는 자리의 꽃이라 축하 자리에서는 결이 어긋난다,meanings:sweet-pea/hanakotoba-yurai-sweetpea 의 같은 caution_note. 송별을 겸한 축하(졸업·이직)는 rule-214 의 gratitude 쪽으로 받는다
rule-218,,celebration,,,,1-2,normal,gladiolus,86,,meanings:gladiolus/hanakotoba-yurai-gladiolus '승리 — 이겨 낸 사람에게'(repeated) · stories:story-gladiolus-via-gladiola(완주자에게 던지는 꽃 · intents=comfort|celebration)
rule-219,lover,confession,,,,1-2,normal,gladiolus,74,,meanings:gladiolus/suncheonbay-birth-flowers 보라 글라디올러스='정열적인 사랑'(repeated) · hanakotoba-yurai-gladiolus '밀회' · stories:story-gladiolus-liliaceus-dusk(intents=confession|anniversary)
rule-220,,comfort,recovery,,,1-2,normal,gladiolus,70,,stories:story-gladiolus-aureus-seed-bank(intents=comfort) · '이겨 낸 사람에게' 를 회복 쪽으로 읽은 파생 해석이라 승리 쪽(rule-218)보다 크게 낮다
rule-221,,celebration,,,,2-3,normal,dahlia,80,,meanings:dahlia/dumont-1851 '우아함과 기품'(repeated) · hanakotoba-yurai-dahlia '화려함'(repeated) · stories:story-dahlia-one-root-cactus(intents=celebration|just_because)
rule-222,,just_because,,,,2-3,normal,dahlia,72,,stories:story-dahlia-blue-prize-unclaimed · stories:story-dahlia-acocoxochitl-mexico(intents=gratitude|just_because)
rule-224,friend,just_because,,,,1-2,normal,zinnia,84,,meanings:zinnia/greenaway-1884 '떠나 있는 벗을 생각하며'(repeated) · wikipedia-hanakotoba '변치 않는 마음' — 멀리 있는 친구를 떠올린 자리와 그대로 겹친다
rule-225,,comfort,,,,1-2,normal,zinnia,74,,stories:story-zinnia-iss-first-bloom(intents=comfort|celebration) · stories:story-zinnia-japan-bon-flower(오래 간다는 이유로 영전에 올랐습니다 · intents=comfort|gratitude)
rule-226,family,comfort,,,,1-2,normal,aster,78,,stories:story-aster-gwakkot-song-1953(누나는 과꽃을 좋아했지요 · intents=comfort|gratitude) · meanings:aster/suncheonbay-birth-flowers 흰 과꽃='나를 믿어 주세요'(repeated)
rule-227,,apology,,2,,1-2,normal,aster,72,,meanings:aster/greenaway-1884 '뒤늦게 떠오른 생각'(repeated) 을 늦은 사과로 읽었고 '당신 뜻에 함께합니다' 가 뒤를 받친다 · 해석이 한 단계 들어가 낮게 잡았다
rule-228,,comfort,,,,1-2,normal,calendula,78,,stories:story-calendula-shakespeare-deathbeds(임종의 침상에서 피는 꽃 · intents=comfort) · meanings:calendula/greenaway-1884 '이별의 슬픔' — 슬픔의 꽃말이 오히려 맞는 유일한 자리다
rule-229,,celebration,,,,1-2,normal,calendula,,이별의 슬픔과 실망이 꽃말이라 기쁜 자리에 어울리지 않는다,meanings:calendula/greenaway-1884 의 caution_note '기쁜 자리에는 어울리지 않는 꽃말이에요' 를 그대로 옮겼다
rule-230,,confession,,,,1-2,normal,calendula,,실망과 이별의 슬픔이 고백 자리에서 정반대로 읽힌다,meanings:calendula/hanakotoba-yurai-kinsenka '실망 — 기다림이 어긋난 자리'(repeated)
rule-231,crush,confession,,,,2-3,normal,cyclamen,74,,meanings:cyclamen/greenaway-1884 '수줍음 — 선뜻 나서지 못하는 마음'(repeated) · suncheonbay-birth-flowers '내성적인 성격'(repeated) · 붉은 시클라멘에는 '질투'가 붙으니(caution_note) 흰 쪽으로 · 화분 종이라 다발 자리에는 서지 않는다
rule-232,friend,gratitude,,,,1-2,normal,geranium,82,,meanings:geranium/greenaway-1884 '진실한 우정'(repeated) · suncheonbay-birth-flowers 붉은 제라늄='그대가 있어 행복합니다'(repeated)
rule-233,friend,just_because,,,,1-2,normal,geranium,70,,meanings:geranium/greenaway-1884 노란 제라늄='뜻하지 않은 만남'(repeated) — 한 줄짜리 근거라 낮다
