flower_id,surface,occasion_ko,source_note
primula,landing,봄이 오기 전에 먼저 인사할 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
primula,landing,첫 마음을 조심스레 꺼낼 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
stock,landing,오래 함께한 사이를 기념할 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
stock,landing,향으로 방을 채워 주고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
delphinium,landing,훌쩍 떠나는 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
delphinium,landing,맑은 여름 인사를 건넬 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
amaryllis,landing,자랑스러운 소식을 들었을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
amaryllis,landing,연말에 오래 두고 볼 선물을 고를 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
cornflower,landing,섬세한 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
cornflower,landing,기억하고 있다고 전하고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
crocus,landing,새 학기를 시작하는 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
crocus,landing,눈 속에서 봄을 기다리는 날에,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
water-lily,landing,마음을 가라앉히고 싶은 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
water-lily,landing,한여름의 안부를 물을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
